Scenario,Accuracy,Precision,Recall,Specificity,Dice,IoU
Binary Classification (Processed),0.9844384045334336,0.3235688692608949,0.9768807939522773,0.9998217485401418,0.4861214129916778,0.32110992074012756
Three-class Classification (Processed),0.9959118766073854,0.7110082161258877,0.7706695513263984,0.9982578323964436,0.7396377200887311,0.586845338344574
Statistical Analysis,Dice p=0.0000,Dice t=6.1813,Dice Δ=0.1363,Dice ES=0.4419,IoU p=0.0000,IoU Δ=0.1373
