Scenario,HD95_Mean,HD95_Std,HD95_Median,ASSD_Mean,ASSD_Std,ASSD_Median,HD95_Stats,ASSD_Stats
Binary (S1),52.34791573904039,41.10756052285166,45.781031508460934,11.190458976820532,12.002233070337882,6.420893945034037,,
Three-class (S2),47.05144279949535,40.13751764028808,41.8586480091422,14.167142956119385,18.879824259203055,7.1220741494236055,,
Statistical Analysis,,,,,,,"Δ=5.2965px, p=0.0865","Δ=-2.9767px, p=0.0092"
