Scenario,Accuracy,Precision,Recall,Specificity,Dice,IoU,HD95,ASSD
Binary Classification (Processed),0.986004278526543,0.3461836987030803,0.9649564156425705,0.9997302921073945,0.5095598516138679,0.3418854773044586,,
Three-class Classification (Processed),0.9946109937584918,0.6029034779921095,0.8342410787285695,0.9987378954133063,0.6999530360371915,0.5384059548377991,,
Statistical Analysis,Dice p=0.0000,Dice t=7.9888,Dice Δ=0.1449,Dice ES=0.4778,IoU p=0.0000,IoU Δ=0.1457,HD95 Δ=3.0926px,ASSD Δ=-1.2769px
